[2026-02-14 19:49:06.304] server_start build=20260214-184906 base=C:\Users\user\Music\Komunikator JGS\Alfa v8\
[2026-02-14 20:03:16.236] GET /api/Users/all status=200 ms=12 aborted_before=False aborted_after=False
[2026-02-14 20:03:34.549] GET /api/Users/all status=200 ms=1 aborted_before=False aborted_after=False
[2026-02-14 20:03:41.191] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 20:03:53.398] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 20:03:57.396] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 20:04:12.401] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 20:04:29.760] GET /api/Users/all status=200 ms=9 aborted_before=False aborted_after=False
[2026-02-14 20:04:47.951] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 20:10:43.635] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 20:11:29.256] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 20:11:46.396] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 20:18:28.491] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 20:18:45.412] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 20:19:51.481] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 20:20:12.999] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 20:20:28.272] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 20:20:46.470] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 20:21:04.682] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 20:21:22.901] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 20:21:41.096] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
[2026-02-14 20:21:59.304] GET /api/Users/all status=200 ms=0 aborted_before=False aborted_after=False
